city;orientacao;vidro;WWR;briseh;brisev;Heating;Cooling;InteriorLights;InteriorEquipment;Fans;TotalElectricity
Ssa;N;0.5;0.6;0;6;0;1462;752;1002;109;3325
Ssa;N;0.5;0.4;0;8;0;1463;752;1002;97;3314
Ssa;N;0.5;0.5;0;8;0;1503;752;1002;101;3358
Ssa;N;0.5;0.6;0;8;0;1539;752;1002;105;3398
Ssa;N;0.4;0.4;0;0;0;1484;752;1002;110;3348
Ssa;N;0.4;0.5;0;0;0;1542;752;1002;117;3412
Ssa;N;0.4;0.6;0;0;0;1598;752;1002;124;3476
Ssa;N;0.4;0.4;10;0;0;1464;752;1002;97;3315
Ssa;N;0.4;0.5;10;0;0;1509;752;1002;102;3365
Ssa;N;0.4;0.6;10;0;0;1557;752;1002;106;3417
Ssa;N;0.4;0.4;20;0;0;1424;752;1002;95;3272
Ssa;N;0.4;0.5;20;0;0;1469;752;1002;99;3321
Ssa;N;0.4;0.6;20;0;0;1515;752;1002;104;3373
Ssa;N;0.4;0.4;30;0;0;1409;752;1002;93;3256
Ssa;N;0.4;0.5;30;0;0;1444;752;1002;97;3295
Ssa;N;0.4;0.6;30;0;0;1495;752;1002;102;3351
Ssa;N;0.4;0.4;0;4;0;1402;752;1002;103;3259
Ssa;N;0.4;0.5;0;4;0;1454;752;1002;109;3317
Ssa;N;0.4;0.6;0;4;0;1505;752;1002;115;3374
Ssa;N;0.4;0.4;0;6;0;1377;752;1002;100;3230
Ssa;N;0.4;0.5;0;6;0;1424;752;1002;106;3283
Ssa;N;0.4;0.6;0;6;0;1470;752;1002;111;3335
Ssa;N;0.4;0.4;0;8;0;1455;752;1002;96;3306
Ssa;N;0.4;0.5;0;8;0;1399;752;1002;103;3256
Ssa;N;0.4;0.6;0;8;0;1442;752;1002;108;3304
Ssa;N;0.3;0.4;0;0;0;1454;752;1002;107;3315
Ssa;N;0.3;0.5;0;0;0;1505;752;1002;113;3372
Ssa;N;0.3;0.6;0;0;0;1544;752;1002;120;3417
Ssa;N;0.3;0.4;10;0;0;1443;752;1002;95;3292
Ssa;N;0.3;0.5;10;0;0;1487;752;1002;100;3340
Ssa;N;0.3;0.6;10;0;0;1472;752;1002;105;3331
Ssa;N;0.3;0.4;20;0;0;1408;752;1002;93;3255
Ssa;N;0.3;0.5;20;0;0;1444;752;1002;97;3295
Ssa;N;0.3;0.6;20;0;0;1488;752;1002;101;3342
Ssa;N;0.3;0.4;30;0;0;1395;752;1002;92;3240
Ssa;N;0.3;0.5;30;0;0;1424;752;1002;95;3273
Ssa;N;0.3;0.6;30;0;0;1466;752;1002;99;3320
Ssa;N;0.3;0.4;0;4;0;1386;752;1002;101;3241
Ssa;N;0.3;0.5;0;4;0;1433;752;1002;107;3293
Ssa;N;0.3;0.6;0;4;0;1478;752;1002;113;3345
Ssa;N;0.3;0.4;0;6;0;1362;752;1002;98;3215
Ssa;N;0.3;0.5;0;6;0;1405;752;1002;104;3262
Ssa;N;0.3;0.6;0;6;0;1446;752;1002;109;3309
Ssa;N;0.3;0.4;0;8;0;1341;752;1002;96;3192
Ssa;N;0.3;0.5;0;8;0;1380;752;1002;101;3236
Ssa;N;0.3;0.6;0;8;0;1418;752;1002;106;3279
Ssa;L;0.8;0.4;0;0;0;1868;752;1002;151;3773
Ssa;L;0.8;0.5;0;0;0;2003;752;1002;169;3925
Ssa;L;0.8;0.6;0;0;0;2134;752;1002;186;4074
Ssa;L;0.8;0.4;10;0;0;1695;752;1002;127;3576
Ssa;L;0.8;0.5;10;0;0;1803;752;1002;145;3702
Ssa;L;0.8;0.6;10;0;0;1935;752;1002;162;3850
Ssa;L;0.8;0.4;20;0;0;1598;752;1002;117;3469
Ssa;L;0.8;0.5;20;0;0;1698;752;1002;128;3580
Ssa;L;0.8;0.6;20;0;0;1784;752;1002;143;3681
Ssa;L;0.8;0.4;30;0;0;1544;752;1002;112;3409
Ssa;L;0.8;0.5;30;0;0;1627;752;1002;121;3502
Ssa;L;0.8;0.6;30;0;0;1729;752;1002;132;3615
Ssa;L;0.8;0.4;0;4;0;1814;752;1002;147;3715
Ssa;L;0.8;0.5;0;4;0;1937;752;1002;163;3854
Ssa;L;0.8;0.6;0;4;0;2057;752;1002;178;3989
Ssa;L;0.8;0.4;0;6;0;1782;752;1002;144;3679
Ssa;L;0.8;0.5;0;6;0;1897;752;1002;159;3809
Ssa;L;0.8;0.6;0;6;0;2008;752;1002;174;3936
Ssa;L;0.8;0.4;0;8;0;1750;752;1002;141;3644
Ssa;L;0.8;0.5;0;8;0;1858;752;1002;155;3767
Ssa;L;0.8;0.6;0;8;0;1962;752;1002;169;3885
Ssa;L;0.7;0.4;0;0;0;1808;752;1002;146;3707
Ssa;L;0.7;0.5;0;0;0;1928;752;1002;161;3843
Ssa;L;0.7;0.6;0;0;0;2045;752;1002;176;3975
Ssa;L;0.7;0.4;10;0;0;1628;752;1002;124;3506
Ssa;L;0.7;0.5;10;0;0;1748;752;1002;140;3642
Ssa;L;0.7;0.6;10;0;0;1867;752;1002;155;3776
Ssa;L;0.7;0.4;20;0;0;1564;752;1002;114;3431
Ssa;L;0.7;0.5;20;0;0;1651;752;1002;123;3528
Ssa;L;0.7;0.6;20;0;0;1733;752;1002;138;3625
Ssa;L;0.7;0.4;30;0;0;1517;752;1002;109;3380
Ssa;L;0.7;0.5;30;0;0;1591;752;1002;117;3461
Ssa;L;0.7;0.6;30;0;0;1679;752;1002;126;3559
Ssa;L;0.7;0.4;0;4;0;1759;752;1002;141;3654
Ssa;L;0.7;0.5;0;4;0;1869;752;1002;156;3778
Ssa;L;0.7;0.6;0;4;0;1974;752;1002;170;3898
Ssa;L;0.7;0.4;0;6;0;1729;752;1002;138;3622
Ssa;L;0.7;0.5;0;6;0;1832;752;1002;152;3738
