city;orientacao;vidro;WWR;briseh;brisev;Heating;Cooling;InteriorLights;InteriorEquipment;Fans;TotalElectricity
BH;N;0.4;0.5;0;0;0;1322;752;1002;125;3201
BH;N;0.4;0.6;0;0;0;1406;752;1002;134;3293
BH;N;0.4;0.4;10;0;0;1040;752;1002;94;2888
BH;N;0.4;0.5;10;0;0;1120;752;1002;105;2979
BH;N;0.4;0.6;10;0;0;1209;752;1002;114;3077
BH;N;0.4;0.4;20;0;0;950;752;1002;85;2789
BH;N;0.4;0.5;20;0;0;1010;752;1002;92;2856
BH;N;0.4;0.6;20;0;0;1074;752;1002;99;2927
BH;N;0.4;0.4;30;0;0;916;752;1002;82;2752
BH;N;0.4;0.5;30;0;0;949;752;1002;86;2789
BH;N;0.4;0.6;30;0;0;1015;752;1002;93;2862
BH;N;0.4;0.4;0;4;0;1141;752;1002;107;3002
BH;N;0.4;0.5;0;4;0;1211;752;1002;114;3079
BH;N;0.4;0.6;0;4;0;1276;752;1002;121;3151
BH;N;0.4;0.4;0;6;0;1087;752;1002;102;2943
BH;N;0.4;0.5;0;6;0;1147;752;1002;108;3008
BH;N;0.4;0.6;0;6;0;1202;752;1002;113;3069
BH;N;0.4;0.4;0;8;0;1042;752;1002;97;2893
BH;N;0.4;0.5;0;8;0;1093;752;1002;102;2950
BH;N;0.4;0.6;0;8;0;1140;752;1002;107;3001
BH;N;0.3;0.4;0;0;0;1172;752;1002;110;3036
BH;N;0.3;0.5;0;0;0;1245;752;1002;118;3116
BH;N;0.3;0.6;0;0;0;1314;752;1002;125;3193
BH;N;0.3;0.4;10;0;0;1007;752;1002;90;2852
BH;N;0.3;0.5;10;0;0;1064;752;1002;99;2917
BH;N;0.3;0.6;10;0;0;1144;752;1002;107;3005
BH;N;0.3;0.4;20;0;0;926;752;1002;82;2762
BH;N;0.3;0.5;20;0;0;976;752;1002;88;2818
BH;N;0.3;0.6;20;0;0;1030;752;1002;94;2879
BH;N;0.3;0.4;30;0;0;897;752;1002;80;2731
BH;N;0.3;0.5;30;0;0;924;752;1002;83;2760
BH;N;0.3;0.6;30;0;0;978;752;1002;89;2821
BH;N;0.3;0.4;0;4;0;1091;752;1002;102;2947
BH;N;0.3;0.5;0;4;0;1148;752;1002;108;3010
BH;N;0.3;0.6;0;4;0;1202;752;1002;114;3069
BH;N;0.3;0.4;0;6;0;1043;752;1002;97;2895
BH;N;0.3;0.5;0;6;0;1092;752;1002;102;2948
BH;N;0.3;0.6;0;6;0;1137;752;1002;107;2998
BH;N;0.3;0.4;0;8;0;1003;752;1002;93;2851
BH;N;0.3;0.5;0;8;0;1045;752;1002;98;2897
BH;N;0.3;0.6;0;8;0;1083;752;1002;102;2939
BH;L;0.8;0.4;0;0;0;1487;752;1002;140;3381
BH;L;0.8;0.5;0;0;0;1642;752;1002;156;3552
BH;L;0.8;0.6;0;0;0;1791;752;1002;170;3715
BH;L;0.8;0.4;10;0;0;1286;752;1002;120;3161
BH;L;0.8;0.5;10;0;0;1429;752;1002;135;3317
BH;L;0.8;0.6;10;0;0;1578;752;1002;149;3481
BH;L;0.8;0.4;20;0;0;1167;752;1002;109;3030
BH;L;0.8;0.5;20;0;0;1288;752;1002;121;3162
BH;L;0.8;0.6;20;0;0;1412;752;1002;133;3299
BH;L;0.8;0.4;30;0;0;1095;752;1002;102;2951
BH;L;0.8;0.5;30;0;0;1199;752;1002;112;3065
BH;L;0.8;0.6;30;0;0;1322;752;1002;124;3200
BH;L;0.8;0.4;0;4;0;1412;752;1002;133;3299
BH;L;0.8;0.5;0;4;0;1549;752;1002;146;3449
BH;L;0.8;0.6;0;4;0;1680;752;1002;159;3594
BH;L;0.8;0.4;0;6;0;1366;752;1002;128;3248
BH;L;0.8;0.5;0;6;0;1492;752;1002;141;3387
BH;L;0.8;0.6;0;6;0;1613;752;1002;153;3520
BH;L;0.8;0.4;0;8;0;1324;752;1002;124;3202
BH;L;0.8;0.5;0;8;0;1440;752;1002;136;3330
BH;L;0.8;0.6;0;8;0;1551;752;1002;147;3452
BH;L;0.7;0.4;0;0;0;1407;752;1002;132;3293
BH;L;0.7;0.5;0;0;0;1541;752;1002;146;3441
BH;L;0.7;0.6;0;0;0;1670;752;1002;159;3582
BH;L;0.7;0.4;10;0;0;1223;752;1002;114;3092
BH;L;0.7;0.5;10;0;0;1352;752;1002;127;3233
BH;L;0.7;0.6;10;0;0;1481;752;1002;140;3375
BH;L;0.7;0.4;20;0;0;1119;752;1002;104;2977
BH;L;0.7;0.5;20;0;0;1223;752;1002;114;3092
BH;L;0.7;0.6;20;0;0;1335;752;1002;125;3215
BH;L;0.7;0.4;30;0;0;1057;752;1002;98;2909
BH;L;0.7;0.5;30;0;0;1146;752;1002;107;3006
BH;L;0.7;0.6;30;0;0;1251;752;1002;117;3123
BH;L;0.7;0.4;0;4;0;1340;752;1002;126;3219
BH;L;0.7;0.5;0;4;0;1458;752;1002;138;3350
BH;L;0.7;0.6;0;4;0;1572;752;1002;149;3475
BH;L;0.7;0.4;0;6;0;1299;752;1002;122;3175
BH;L;0.7;0.5;0;6;0;1409;752;1002;133;3295
BH;L;0.7;0.6;0;6;0;1513;752;1002;143;3410
BH;L;0.7;0.4;0;8;0;1262;752;1002;118;3134
BH;L;0.7;0.5;0;8;0;1362;752;1002;128;3245
BH;L;0.7;0.6;0;8;0;1458;752;1002;138;3350
BH;L;0.6;0.4;0;0;0;1342;752;1002;126;3223
BH;L;0.6;0.5;0;0;0;1461;752;1002;138;3353
BH;L;0.6;0.6;0;0;0;1574;752;1002;149;3478
BH;L;0.6;0.4;10;0;0;1175;752;1002;110;3038
BH;L;0.6;0.5;10;0;0;1292;752;1002;121;3167
BH;L;0.6;0.6;10;0;0;1406;752;1002;133;3292
BH;L;0.6;0.4;20;0;0;1082;752;1002;101;2937
BH;L;0.6;0.5;20;0;0;1173;752;1002;110;3037
BH;L;0.6;0.6;20;0;0;1275;752;1002;120;3148
BH;L;0.6;0.4;30;0;0;1027;752;1002;95;2876
BH;L;0.6;0.5;30;0;0;1104;752;1002;103;2961
BH;L;0.6;0.6;30;0;0;1197;752;1002;112;3063
BH;L;0.6;0.4;0;4;0;1283;752;1002;120;3157
BH;L;0.6;0.5;0;4;0;1387;752;1002;131;3272
BH;L;0.6;0.6;0;4;0;1487;752;1002;141;3382
BH;L;0.6;0.4;0;6;0;1246;752;1002;117;3117
BH;L;0.6;0.5;0;6;0;1342;752;1002;126;3223
BH;L;0.6;0.6;0;6;0;1434;752;1002;136;3323
BH;L;0.6;0.4;0;8;0;1213;752;1002;114;3080
BH;L;0.6;0.5;0;8;0;1301;752;1002;122;3177
BH;L;0.6;0.6;0;8;0;1385;752;1002;131;3270
BH;L;0.5;0.4;0;0;0;1289;752;1002;121;3164
BH;L;0.5;0.5;0;0;0;1394;752;1002;131;3279
BH;L;0.5;0.6;0;0;0;1493;752;1002;141;3389
BH;L;0.5;0.4;10;0;0;1136;752;1002;106;2996
BH;L;0.5;0.5;10;0;0;1241;752;1002;116;3111
BH;L;0.5;0.6;10;0;0;1342;752;1002;126;3222
BH;L;0.5;0.4;20;0;0;1050;752;1002;98;2902
BH;L;0.5;0.5;20;0;0;1130;752;1002;105;2989
BH;L;0.5;0.6;20;0;0;1224;752;1002;115;3092
